Level,Date and Time,Source,Event ID,Task Category
Information,12/10/2019 1:58:10 PM,Service Control Manager,7036,None,The Windows Update service entered the running state.
Information,12/10/2019 1:58:09 PM,Service Control Manager,7036,None,The Windows Event Collector service entered the running state.
Information,12/10/2019 1:58:09 PM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the running state.
Information,12/10/2019 1:58:09 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/10/2019 1:58:09 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/10/2019 1:58:09 PM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the running state.
Information,12/10/2019 1:58:08 PM,Service Control Manager,7036,None,The Diagnostic System Host service entered the running state.
Information,12/10/2019 1:58:08 PM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the running state.
Information,12/10/2019 1:58:08 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information,12/10/2019 1:58:08 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the running state.
Information,12/10/2019 1:58:08 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the stopped state.
Information,12/10/2019 1:58:08 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the running state.
Information,12/10/2019 1:56:57 PM,Service Control Manager,7036,None,The Background Intelligent Transfer Service service entered the running state.
Information,12/10/2019 1:56:57 PM,Service Control Manager,7036,None,The winlogbeat service entered the running state.
Warning,12/10/2019 1:56:23 PM,USER32,1076,None,"The reason supplied by user VAGRANT-2008R2\vagrant for the last unexpected shutdown of this computer is: Other (Unplanned)
 Reason Code: 0xa000000
 Problem ID: 
 Bugcheck String: 
 Comment: 
"
Information,12/10/2019 1:56:21 PM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the stopped state.
Information,12/10/2019 1:56:21 PM,Service Control Manager,7036,None,The Remote Desktop Configuration service entered the running state.
Information,12/10/2019 1:56:20 PM,Service Control Manager,7036,None,The Certificate Propagation service entered the running state.
Information,12/10/2019 1:56:20 PM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the running state.
Information,12/10/2019 1:56:20 PM,Service Control Manager,7036,None,The Network Connections service entered the running state.
Information,12/10/2019 1:56:20 PM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the running state.
Information,12/10/2019 1:56:19 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/10/2019 1:56:18 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/10/2019 1:56:18 PM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the running state.
Information,12/10/2019 1:56:18 PM,Service Control Manager,7036,None,The Remote Desktop Services service entered the running state.
Information,12/10/2019 1:56:15 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/10/2019 1:56:12 PM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:172.24.0.109 has been brought up.
Information,12/10/2019 1:56:11 PM,Service Control Manager,7036,None,The Network List Service service entered the running state.
Error,12/10/2019 1:56:10 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) failed to load: 
cdrom"
Information,12/10/2019 1:56:10 PM,Service Control Manager,7036,None,The wampmysqld service entered the running state.
Information,12/10/2019 1:56:08 PM,Service Control Manager,7036,None,The Server service entered the running state.
Information,12/10/2019 1:56:07 PM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the running state.
Information,12/10/2019 1:56:07 PM,Service Control Manager,7036,None,The IP Helper service entered the running state.
Information,12/10/2019 1:56:06 PM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the running state.
Information,12/10/2019 1:56:06 PM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the running state.
Information,12/10/2019 1:56:06 PM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the running state.
Information,12/10/2019 1:56:06 PM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the running state.
Information,12/10/2019 1:56:07 PM,Microsoft-Windows-WinRM,10121,None,"The WinRM service has been configured to accept basic authentication for unsecure HTTP connections. 

 This is not a secure configuration. 

 User Action 
 Set AllowUnencrypted to False in WinRM configuration to ensure packets are encrypted on the wire."
Information,12/10/2019 1:56:07 PM,Microsoft-Windows-WinRM,10148,None,"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener"
Information,12/10/2019 1:56:06 PM,SNMP,1001,None,The SNMP Service has started successfully.
Information,12/10/2019 1:56:04 PM,Service Control Manager,7036,None,The wampapache service entered the running state.
Information,12/10/2019 1:56:03 PM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the running state.
Information,12/10/2019 1:56:02 PM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the running state.
Information,12/10/2019 1:56:02 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,12/10/2019 1:56:02 PM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the running state.
Information,12/10/2019 1:56:01 PM,Service Control Manager,7036,None,The OpenSSH Server service entered the running state.
Information,12/10/2019 1:56:01 PM,Service Control Manager,7036,None,The SNMP Service service entered the running state.
Information,12/10/2019 1:56:00 PM,Service Control Manager,7036,None,The Remote Registry service entered the running state.
Error,12/10/2019 1:56:01 PM,SNMP,1500,None,The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information,12/10/2019 1:55:59 PM,Service Control Manager,7036,None,The Network Location Awareness service entered the running state.
Information,12/10/2019 1:55:59 PM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the running state.
Information,12/10/2019 1:55:57 PM,Service Control Manager,7036,None,The jmx service entered the running state.
Information,12/10/2019 1:55:57 PM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the running state.
Information,12/10/2019 1:55:57 PM,Service Control Manager,7036,None,The jenkins service entered the running state.
Information,12/10/2019 1:55:57 PM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information,12/10/2019 1:55:54 PM,Service Control Manager,7036,None,The domain1 GlassFish Server service entered the running state.
Information,12/10/2019 1:55:54 PM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the running state.
Information,12/10/2019 1:55:54 PM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Application Host Helper Service service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Cryptographic Services service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Print Spooler service entered the running state.
